id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
234042,Robbie Swifthand and the Orb of Mysteries,2024-04-02T14:41:42.181817,PS4,"Action, Adventure, Action",EAST2WEST NETWORK TECH. CO. LTD.,7/23/2019,No hay información,3.91,11 ratings,45%,18%,27%,0%,9%,$12.99,$12.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10005723,Robby's Adventure,2024-04-02T14:41:43.523352,PS5,Adventure,Volkov Konstantin Sergeevich,8/30/2023,English,2.87,46 ratings,33%,7%,13%,11%,37%,$1.99,$1.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
229297,Robonauts,2024-04-02T14:41:46.083778,PS4,"Action, Arcade, Shooter",QubicGames S.A.,9/19/2017,No hay información,3.81,54 ratings,54%,11%,13%,7%,15%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10000526,ROBOTICS;NOTES DaSH,2024-04-02T14:41:47.509045,PS4,Unique,"Spike Chunsoft, Inc.",10/13/2020,English,4.62,42 ratings,79%,10%,10%,0%,2%,$34.99,$34.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
217716,RobotRiot Hyper Edition,2024-04-02T14:41:48.822167,PS4,Action,Retromite LLC,7/18/2017,No hay información,3.5,6 ratings,50%,0%,17%,17%,17%,$7.99,$7.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10000376,Robozarro,2024-04-02T14:41:50.170091,PS4,"Action, Adventure",EastAsiaSoft,7/7/2020,No hay información,3.74,89 ratings,48%,13%,15%,11%,12%,$6.99,$6.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10001955,Rocket Punch,2024-04-02T14:41:51.556126,PS4,Unique,"SHAME, INTERCONTINENTAL",1/12/2021,English,4,3 ratings,67%,0%,0%,33%,0%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
223122,ROCKETSROCKETSROCKETS,2024-04-02T14:41:52.877875,PS4,No hay información,RADIAL GAMES CORP.,8/30/2016,No hay información,3.68,72 ratings,53%,10%,10%,8%,19%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10002205,Rodent Warriors,2024-04-02T14:41:54.102947,PS4,Role Playing Games,JanduSoft S.L.,2/18/2021,English,4.06,18 ratings,61%,11%,6%,17%,6%,$5.99,$5.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
227204,Rogue Aces,2024-04-02T14:41:55.400787,PS4,"Action, Shooter, Arcade",Thalamus Digital Publishing Ltd.,4/12/2018,No hay información,3.73,3445 ratings,51%,13%,13%,6%,18%,$12.99,$12.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
