id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10002577,Jurassic World Evolution 2,2024-02-22T15:24:07.055023,"PS4, PS5","Simulación, Estrategia",FRONTIER DEVELOPMENTS PLC,9/11/2021,No hay información,4.45,10.990 calificaciones,74 %,12 %,6 %,2 %,6 %,"79,99 €","39,99 €",,"39,99 €"
10007961,High On Life,2024-02-22T15:24:09.630269,"PS4, PS5","Juegos de disparos, Aventura","Squanch Games, Inc.",22/7/2023,"Alemán, Español (México), Francés (Francia), Inglés, Italiano",4.64,1.723 calificaciones,78 %,14 %,4 %,1 %,3 %,"39,99 €","39,99 €","39,99 €","39,99 €"
233069,RESIDENT EVIL 3,2024-02-22T15:24:13.785483,"PS4, PS5","Acción, Aventura",CE EUROPE LIMITED,13/6/2022,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Tailandés, Árabe",4.44,43.568 calificaciones,70 %,14 %,9 %,2 %,4 %,"59,99 €","14,99 €",,"14,99 €"
10007607,METAL GEAR SOLID: MASTER COLLECTION Vol.1 PS4 & PS5,2024-02-22T15:24:17.130847,"PS4, PS5",Acción,Konami,24/10/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés",4.77,2.772 calificaciones,88 %,6 %,2 %,1 %,3 %,"19,99 €","15,99 €",,"15,99 €"
227478,Borderlands 3 PS4™ &  PS5™,2024-02-22T15:24:20.687224,"PS4, PS5","Juegos de disparos, Acción, Únicos",2K,11/11/2020,No hay información,4.54,27.647 calificaciones,78 %,10 %,4 %,2 %,6 %,"74,99 €","11,24 €",,"11,24 €"
10003247,RIDE 5,2024-02-22T15:24:25.770895,PS5,Conducción/Carreras,MILESTONE SRL,23/8/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.23,328 calificaciones,64 %,18 %,5 %,4 %,9 %,"79,99 €","47,99 €",,"47,99 €"
10005042,Penny’s Big Breakaway,2024-02-22T15:24:29.979387,PS5,Acción,TAKE-TWO INTERACTIVE SOFTWARE UK,21/2/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso",4.92,51 calificaciones,98 %,0 %,0 %,0 %,2 %,"29,99 €","29,99 €","29,99 €","29,99 €"
224802,ARK: Survival Evolved,2024-02-22T15:24:33.481860,PS4,"Acción, Juegos de rol, Acción",WILDCARD PROPERTIES,5/12/2016,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.28,190.363 calificaciones,71 %,10 %,6 %,2 %,11 %,"14,99 €","14,99 €","14,99 €","14,99 €"
211297,SMITE,2024-02-22T15:24:38.109412,PS4,"Acción, Juegos de disparos, Estrategia",HI-REZ STUDIOS,30/5/2016,"Alemán, Chino (Simplificado), Español (México), Francés (Francia), Inglés, Polaco, Portugués (Brasil), Ruso",4.23,140.674 calificaciones,67 %,13 %,8 %,2 %,11 %,Gratis,Gratis,Gratis,Gratis
228726,DRAGON BALL FIGHTERZ,2024-02-22T15:24:42.653468,PS4,"Lucha, Lucha",BANDAI NAMCO ENTERTAINMENT EUROPE,25/1/2018,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.33,53.613 calificaciones,75 %,8 %,4 %,2 %,12 %,"69,99 €",Incluido,"69,99 €",Incluido
